"SEXO","EDAD","TAMUNI","INGRESHOG","TARHOGENTREV_HH","HIJOMENOR","SITLAB","NIVELESTENTREV","GRADACDISC","GRADODESIGUALDAD","VALSALARIOS","VALPOSASC","VALOPEMP","ESCFEMINIS","ESCIDEOL","RELIGION","CUIDADOHIJOS_HH","RECUVOTOG","NIVELESTENTREV_imp","GRADACDISC_imp","GRADODESIGUALDAD_imp","VALSALARIOS_imp","VALPOSASC_imp","VALOPEMP_imp","TARHOGENTREV_HH_media","ESCIDEOL_media","ESCFEMINIS_MEDIA"
"Mujer",28,"10001-50000 habitantes","Menos de 1100€",3,"Tiene hijos/as menores","En paro, ha trabajado antes","Educación secundaria","Nada de acuerdo","Muy grandes","Igual","Igual","Igual",10,NA,"Católico/a no practicante",24,NA,"Educación secundaria","Nada de acuerdo","Muy grandes","Igual","Igual","Igual",3,4.77000264061262,10
"Mujer",60,"50001-100000 habitantes","1100-1800€",8,"Ninguno","En paro, ha trabajado antes","Primaria","Poco de acuerdo","Bastante grandes","Peor","Peor","Igual",5,NA,"Ateo/a",NA,"N.C.","Primaria","Poco de acuerdo","Bastante grandes","Peor","Peor","Igual",8,4.77000264061262,5
"Mujer",55,"50001-100000 habitantes","Menos de 1100€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Mejor","Mejor",8,1,"Católico/a no practicante",NA,NA,"Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Mejor","Mejor",2,1,8
"Mujer",61,"50001-100000 habitantes","1801-2700€",5,"Ninguno","Trabaja","Educación secundaria","Muy de acuerdo","Pequeñas","Igual","Mejor","Mejor",5,10,"Indiferente, no creyente",NA,"PP","Educación secundaria","Muy de acuerdo","Pequeñas","Igual","Mejor","Mejor",5,10,5
"Hombre",55,"50001-100000 habitantes","1801-2700€",1,"Ninguno","Trabaja","Educación secundaria","Muy de acuerdo","Pequeñas","Peor","Igual","Igual",2,4,"Católico/a no practicante",NA,"Otro partido","Educación secundaria","Muy de acuerdo","Pequeñas","Peor","Igual","Igual",1,4,2
"Mujer",50,"2001-10000 habitantes","1801-2700€",6,"Tiene hijos/as menores","Trabaja","Educación secundaria","Muy de acuerdo","Bastante grandes","Mejor","Mejor","Igual",0,NA,"Católico/a no practicante",2,"N.C.","Educación secundaria","Muy de acuerdo","Bastante grandes","Mejor","Mejor","Igual",6,4.77000264061262,0
"Hombre",42,"2001-10000 habitantes","1100-1800€",3,"Ninguno","Otra situación","Primaria","Poco de acuerdo","Pequeñas","Peor","Peor","Mejor",6,5,"Agnóstico/a",NA,"En blanco","Primaria","Poco de acuerdo","Pequeñas","Peor","Peor","Mejor",3,5,6
"Mujer",70,"100001-400000 habitantes","1100-1800€",4,"Ninguno","Trabaja","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",10,6,"Católico/a practicante",NA,"PP","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",4,6,10
"Hombre",23,"100001-400000 habitantes","1801-2700€",1,"Ninguno","Trabaja","Grado universitario","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",3,7,"Agnóstico/a",NA,NA,"Grado universitario","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",1,7,3
"Hombre",77,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",9,1,NA,NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",2,1,9
"Hombre",66,"100001-400000 habitantes","1801-2700€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",7,2,"Ateo/a",NA,"SUMAR (Podemos, IU, Más País, etc.)","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",1,2,7
"Hombre",64,"100001-400000 habitantes","1801-2700€",4,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",10,1,"Ateo/a",NA,"SUMAR (Podemos, IU, Más País, etc.)","FP grado superior","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",4,1,10
"Mujer",39,"100001-400000 habitantes","2701-3900€",1,"Tiene hijos/as menores","Trabaja","FP grado medio","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,8,"Católico/a no practicante",3,"VOX","FP grado medio","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",1,8,0
"Mujer",33,"10001-50000 habitantes","2701-3900€",5,"Ninguno","Trabaja","FP grado medio","Muy de acuerdo","Pequeñas","Igual","Igual","Igual",9,8,"Católico/a no practicante",NA,"N.C.","FP grado medio","Muy de acuerdo","Pequeñas","Igual","Igual","Igual",5,8,9
"Hombre",46,"10001-50000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Licenciatura","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",7,6,"Agnóstico/a",NA,"SUMAR (Podemos, IU, Más País, etc.)","Licenciatura","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",2,6,7
"Mujer",67,"10001-50000 habitantes","2701-3900€",0,"Ninguno","Trabaja","Diplomaturas oficiales","Bastante de acuerdo","Pequeñas","Peor","Peor","Peor",5,5,"Creyente de otra religión",NA,"PP","Diplomaturas oficiales","Bastante de acuerdo","Pequeñas","Peor","Peor","Peor",0,5,5
"Hombre",72,"10001-50000 habitantes","1100-1800€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Primaria","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",5,1,"Católico/a practicante",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Primaria","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",3,1,5
"Hombre",44,"10001-50000 habitantes","3901-5000€",2,"Ninguno","Trabaja","FP grado superior","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,5,"Católico/a practicante",NA,NA,"FP grado superior","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",2,5,0
"Hombre",34,"10001-50000 habitantes","1100-1800€",0,"Ninguno","Trabaja","Primaria","Bastante de acuerdo","Muy grandes","Peor","Peor","Peor",5,5,"Ateo/a",NA,NA,"Primaria","Bastante de acuerdo","Muy grandes","Peor","Peor","Peor",0,5,5
"Mujer",59,"100001-400000 habitantes","1100-1800€",5,"Ninguno","Trabaja","Diplomaturas oficiales","Bastante de acuerdo","Casi inexistentes","Igual","Peor","Igual",3,4,"Católico/a no practicante",NA,"VOX","Diplomaturas oficiales","Bastante de acuerdo","Casi inexistentes","Igual","Peor","Igual",5,4,3
"Hombre",61,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Bachillerato","Muy de acuerdo","Bastante grandes","Igual","Peor","Igual",10,3,"Católico/a no practicante",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Bachillerato","Muy de acuerdo","Bastante grandes","Igual","Peor","Igual",2,3,10
"Mujer",59,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","FP grado medio","Muy de acuerdo","Casi inexistentes","Igual","Igual","Mejor",6,7,"Católico/a no practicante",NA,"PP","FP grado medio","Muy de acuerdo","Casi inexistentes","Igual","Igual","Mejor",2,7,6
"Hombre",53,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Bachillerato","Poco de acuerdo","Bastante grandes","Peor","Igual","Peor",5,3,"Indiferente, no creyente",NA,"SUMAR (Podemos, IU, Más País, etc.)","Bachillerato","Poco de acuerdo","Bastante grandes","Peor","Igual","Peor",2,3,5
"Hombre",41,"100001-400000 habitantes","2701-3900€",1,"Ninguno","En paro, ha trabajado antes","Máster oficial","Nada de acuerdo","Pequeñas","Peor","Peor","Igual",7,3,"Ateo/a",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Máster oficial","Nada de acuerdo","Pequeñas","Peor","Peor","Igual",1,3,7
"Mujer",66,"100001-400000 habitantes","1100-1800€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Primaria","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",5,5,"Católico/a no practicante",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Primaria","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",3,5,5
"Mujer",81,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Bachillerato","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",5,9,"Católico/a practicante",NA,"PP","Bachillerato","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",2,9,5
"Hombre",60,"100001-400000 habitantes",NA,1,"Ninguno","En paro, ha trabajado antes","Grado universitario","Bastante de acuerdo","Pequeñas","Igual","Peor","Peor",6,5,"Ateo/a",NA,NA,"Grado universitario","Bastante de acuerdo","Pequeñas","Igual","Peor","Peor",1,5,6
"Mujer",38,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Máster oficial","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",5,5,"Indiferente, no creyente",NA,NA,"Máster oficial","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",2,5,5
"Mujer",44,"100001-400000 habitantes","3901-5000€",4,"Tiene hijos/as menores","Trabaja","Máster oficial","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",5,7,"Católico/a no practicante",8,"PP","Máster oficial","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",4,7,5
"Mujer",74,"50001-100000 habitantes",NA,1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Diplomaturas oficiales","Bastante de acuerdo","Muy grandes","Mejor","Igual","Igual",5,9,"Católico/a practicante",NA,"PP","Diplomaturas oficiales","Bastante de acuerdo","Muy grandes","Mejor","Igual","Igual",1,9,5
"Hombre",55,"50001-100000 habitantes","1801-2700€",1,"Tiene hijos/as menores","En paro, ha trabajado antes","Educación secundaria","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,1,"Católico/a no practicante",1,"SUMAR (Podemos, IU, Más País, etc.)","Educación secundaria","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",1,1,5
"Hombre",48,"50001-100000 habitantes","2701-3900€",6,"Tiene hijos/as menores","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Bastante de acuerdo","Pequeñas","Igual","Igual","Igual",4,5,"Católico/a no practicante",8,"PP","FP grado superior","Bastante de acuerdo","Pequeñas","Igual","Igual","Igual",6,5,4
"Hombre",37,"50001-100000 habitantes","1100-1800€",0,"Ninguno","Trabaja","FP grado superior","Nada de acuerdo","Casi inexistentes","Peor","Peor","Igual",7,5,"Católico/a no practicante",NA,"N.C.","FP grado superior","Nada de acuerdo","Casi inexistentes","Peor","Peor","Igual",0,5,7
"Hombre",18,"50001-100000 habitantes","Menos de 1100€",0,"Ninguno","Estudiante","Bachillerato","Poco de acuerdo","Pequeñas","Igual","Peor","Peor",5,4,"Agnóstico/a",NA,NA,"Bachillerato","Poco de acuerdo","Pequeñas","Igual","Peor","Peor",0,4,5
"Hombre",58,"10001-50000 habitantes","1100-1800€",1,"Ninguno","Trabaja","FP grado medio","Regular","Muy grandes","Peor","Peor","Peor",7,7,"Católico/a practicante",NA,"PP","FP grado medio","Regular","Muy grandes","Peor","Peor","Peor",1,7,7
"Hombre",67,"100001-400000 habitantes","1100-1800€",NA,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Bastante de acuerdo","Muy grandes","Igual","Igual","Mejor",0,9,"Católico/a practicante",NA,"PP","Licenciatura","Bastante de acuerdo","Muy grandes","Igual","Igual","Mejor",2.28715767083223,9,0
"Mujer",42,"100001-400000 habitantes","1801-2700€",4,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Muy grandes","Peor","Peor","Igual",6,6,"Católico/a no practicante",NA,"PP","FP grado superior","Poco de acuerdo","Muy grandes","Peor","Peor","Igual",4,6,6
"Hombre",52,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Muy grandes","Peor","Igual","Igual",9,2,"Católico/a no practicante",NA,"SUMAR (Podemos, IU, Más País, etc.)","FP grado superior","Poco de acuerdo","Muy grandes","Peor","Igual","Igual",2,2,9
"Mujer",60,"100001-400000 habitantes","1100-1800€",3,"Ninguno","Trabaja","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Igual",6,2,"Católico/a no practicante",NA,"SUMAR (Podemos, IU, Más País, etc.)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Igual",3,2,6
"Mujer",46,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Bachillerato","Muy de acuerdo","Pequeñas","Igual","Mejor","Igual",10,4,"Católico/a no practicante",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Bachillerato","Muy de acuerdo","Pequeñas","Igual","Mejor","Igual",2,4,10
"Hombre",47,"100001-400000 habitantes","1100-1800€",2,"Ninguno","En paro, ha trabajado antes","Diplomaturas oficiales","Bastante de acuerdo","Casi inexistentes","Peor","Igual","Mejor",5,7,"Católico/a practicante",NA,"N.C.","Diplomaturas oficiales","Bastante de acuerdo","Casi inexistentes","Peor","Igual","Mejor",2,7,5
"Mujer",76,"100001-400000 habitantes","1100-1800€",6,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Primaria","Poco de acuerdo","Pequeñas","Igual","Igual","Peor",7,8,"Católico/a practicante",NA,"N.C.","Primaria","Poco de acuerdo","Pequeñas","Igual","Igual","Peor",6,8,7
"Hombre",46,"100001-400000 habitantes","1100-1800€",1,"Tiene hijos/as menores","Trabaja","FP grado medio","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,5,"Católico/a no practicante",12,"VOX","FP grado medio","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",1,5,5
"Hombre",49,"100001-400000 habitantes","2701-3900€",1,"Tiene hijos/as menores","Trabaja","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Igual",8,3,"Indiferente, no creyente",3,"SUMAR (Podemos, IU, Más País, etc.)","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Igual",1,3,8
"Hombre",46,"100001-400000 habitantes","3901-5000€",3,"Tiene hijos/as menores","Trabaja","Licenciatura","Muy de acuerdo","Pequeñas","Igual","Igual","Peor",5,7,"Católico/a practicante",3,"PP","Licenciatura","Muy de acuerdo","Pequeñas","Igual","Igual","Peor",3,7,5
"Mujer",49,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Trabaja","Primaria","Bastante de acuerdo","Bastante grandes","Mejor","Peor","Peor",6,NA,NA,NA,NA,"Primaria","Bastante de acuerdo","Bastante grandes","Mejor","Peor","Peor",2,4.77000264061262,6
"Hombre",60,"100001-400000 habitantes","1100-1800€",0,"Ninguno","Trabaja","Educación secundaria","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",8,4,"Católico/a no practicante",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Educación secundaria","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",0,4,8
"Hombre",65,"100001-400000 habitantes","2701-3900€",3,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Pequeñas","Igual","Igual","Igual",0,5,"Católico/a no practicante",NA,"PP","FP grado superior","Poco de acuerdo","Pequeñas","Igual","Igual","Igual",3,5,0
"Hombre",50,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","FP grado superior","Bastante de acuerdo","Pequeñas","Peor",NA,"Peor",5,7,"Católico/a no practicante",NA,"VOX","FP grado superior","Bastante de acuerdo","Pequeñas","Peor","Peor","Peor",2,7,5
"Mujer",69,"100001-400000 habitantes","3901-5000€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",8,4,"Agnóstico/a",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Licenciatura","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",2,4,8
"Hombre",69,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Arquitectura/ingeniería técnica","Muy de acuerdo","Casi inexistentes","Peor","Igual","Igual",5,5,"Católico/a no practicante",NA,"PP","Arquitectura/ingeniería técnica","Muy de acuerdo","Casi inexistentes","Peor","Igual","Igual",3,5,5
"Hombre",74,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Arquitectura/ingeniería técnica","Nada de acuerdo","Pequeñas","Peor","Peor","Igual",9,6,"Católico/a no practicante",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Arquitectura/ingeniería técnica","Nada de acuerdo","Pequeñas","Peor","Peor","Igual",3,6,9
"Mujer",50,"100001-400000 habitantes","2701-3900€",3,"Tiene hijos/as menores","Trabaja","Licenciatura","Poco de acuerdo","Bastante grandes","Igual","Peor","Igual",7,4,"Indiferente, no creyente",7,"PP","Licenciatura","Poco de acuerdo","Bastante grandes","Igual","Peor","Igual",3,4,7
"Mujer",48,"100001-400000 habitantes","1100-1800€",2,"Ninguno","En paro, ha trabajado antes","Licenciatura","Regular","Muy grandes","Peor","Peor","Peor",7,3,"Agnóstico/a",NA,"Otro partido","Licenciatura","Regular","Muy grandes","Peor","Peor","Peor",2,3,7
"Mujer",19,"100001-400000 habitantes","Menos de 1100€",0,"Ninguno","Estudiante","Bachillerato","Muy de acuerdo","Bastante grandes","Peor","Peor","Igual",6,3,"Agnóstico/a",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Bachillerato","Muy de acuerdo","Bastante grandes","Peor","Peor","Igual",0,3,6
"Hombre",77,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",8,1,"Indiferente, no creyente",NA,"SUMAR (Podemos, IU, Más País, etc.)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",2,1,8
"Mujer",57,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Trabaja","Diplomaturas oficiales","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",10,3,"Católico/a no practicante",NA,"SUMAR (Podemos, IU, Más País, etc.)","Diplomaturas oficiales","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",3,3,10
"Hombre",26,"100001-400000 habitantes","2701-3900€",3,"Ninguno","Trabaja","Grado universitario","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",8,4,"Ateo/a",NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)","Grado universitario","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",3,4,8
