"SEXO","EDAD","TAMUNI","INGRESHOG","TARHOGENTREV_HH","HIJOMENOR","SITLAB","NIVELESTENTREV","GRADACDISC","GRADODESIGUALDAD","VALSALARIOS","VALPOSASC","VALOPEMP","ESCFEMINIS","ESCIDEOL","RELIGION","RECUVOTOG"
"Hombre",55,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Trabaja","Bachillerato","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",7,5,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",33,"2001-10000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Bachillerato","Nada de acuerdo","Bastante grandes","Mejor","Mejor","Igual",5,4,"Católico/a no practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",45,"2001-10000 habitantes","1801-2700€",4,"Tiene hijos/as menores","Trabaja","Grado universitario","Muy de acuerdo","Pequeñas","Igual","Igual","Mejor",4,5,"Católico/a no practicante","N.C."
"Hombre",46,"10001-50000 habitantes","1801-2700€",5,"Tiene hijos/as menores","Trabaja","Primaria","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",8,7,"Católico/a no practicante","VOX"
"Hombre",21,"10001-50000 habitantes","1100-1800€",5,"Ninguno","En paro, busca primer empleo","FP grado medio","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,10,"Ateo/a","VOX"
"Hombre",39,"2001-10000 habitantes","2701-3900€",3,"Tiene hijos/as menores","Trabaja","Educación secundaria","Nada de acuerdo","Pequeñas","Igual","Peor","Igual",6,4,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",21,"100001-400000 habitantes","Más de 5000€",1,"Ninguno","Estudiante","Bachillerato","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",10,10,"Católico/a no practicante","VOX"
"Hombre",47,"100001-400000 habitantes","3901-5000€",NA,"Tiene hijos/as menores","Trabaja","Licenciatura","Nada de acuerdo","Pequeñas","Peor","Peor","Peor",8,3,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",50,"100001-400000 habitantes","Más de 5000€",5,"Tiene hijos/as menores","Trabaja","Licenciatura","Muy de acuerdo","Muy grandes","Igual","Igual","Igual",8,NA,"Católico/a no practicante","PP"
"Hombre",42,"100001-400000 habitantes","1100-1800€",1,"Tiene hijos/as menores","Trabaja","Educación secundaria","Muy de acuerdo","Casi inexistentes","Igual","Mejor","Mejor",2,10,"Católico/a no practicante","VOX"
"Hombre",34,"100001-400000 habitantes","1801-2700€",1,"Tiene hijos/as menores","Trabaja","FP grado superior","Bastante de acuerdo","Pequeñas","Peor","Peor","Igual",5,4,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",56,"100001-400000 habitantes",NA,NA,"Ninguno","Trabaja","Licenciatura","Poco de acuerdo","Pequeñas","Peor","Peor","Peor",8,6,"Católico/a practicante","PP"
"Mujer",58,"100001-400000 habitantes","1801-2700€",0,"Ninguno","Trabaja","Bachillerato","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,8,"Católico/a no practicante","PP"
"Mujer",44,"100001-400000 habitantes","3901-5000€",3,"Tiene hijos/as menores","Trabaja","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",9,3,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",85,"100001-400000 habitantes","2701-3900€",0,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Bastante de acuerdo","Casi inexistentes","Igual","Mejor","Peor",0,10,"Católico/a practicante","PP"
"Mujer",67,"2001-10000 habitantes","3901-5000€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Menos de 5 años escolarización","Poco de acuerdo","Bastante grandes","Mejor","Peor","Igual",2,5,"Católico/a no practicante","Voto nulo"
"Mujer",28,"10001-50000 habitantes","Menos de 1100€",3,"Tiene hijos/as menores","En paro, ha trabajado antes","Educación secundaria","Nada de acuerdo","Muy grandes","Igual","Igual","Igual",10,NA,"Católico/a no practicante",NA
"Mujer",60,"50001-100000 habitantes","1100-1800€",8,"Ninguno","En paro, ha trabajado antes","Primaria","Poco de acuerdo","Bastante grandes","Peor","Peor","Igual",5,NA,"Ateo/a","N.C."
"Mujer",55,"50001-100000 habitantes","Menos de 1100€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Mejor","Mejor",8,1,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",61,"50001-100000 habitantes","1801-2700€",5,"Ninguno","Trabaja","Educación secundaria","Muy de acuerdo","Pequeñas","Igual","Mejor","Mejor",5,10,"Indiferente, no creyente","PP"
"Hombre",55,"50001-100000 habitantes","1801-2700€",1,"Ninguno","Trabaja","Educación secundaria","Muy de acuerdo","Pequeñas","Peor","Igual","Igual",2,4,"Católico/a no practicante","Otro partido"
"Mujer",50,"2001-10000 habitantes","1801-2700€",6,"Tiene hijos/as menores","Trabaja","Educación secundaria","Muy de acuerdo","Bastante grandes","Mejor","Mejor","Igual",0,NA,"Católico/a no practicante","N.C."
"Hombre",42,"2001-10000 habitantes","1100-1800€",3,"Ninguno","Otra situación","Primaria","Poco de acuerdo","Pequeñas","Peor","Peor","Mejor",6,5,"Agnóstico/a","En blanco"
"Mujer",70,"100001-400000 habitantes","1100-1800€",4,"Ninguno","Trabaja","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",10,6,"Católico/a practicante","PP"
"Hombre",23,"100001-400000 habitantes","1801-2700€",1,"Ninguno","Trabaja","Grado universitario","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",3,7,"Agnóstico/a","VOX"
"Hombre",77,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",9,1,NA,"PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",66,"100001-400000 habitantes","1801-2700€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",7,2,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",64,"100001-400000 habitantes","1801-2700€",4,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",10,1,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",39,"100001-400000 habitantes","2701-3900€",1,"Tiene hijos/as menores","Trabaja","FP grado medio","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,8,"Católico/a no practicante","VOX"
"Mujer",33,"10001-50000 habitantes","2701-3900€",5,"Ninguno","Trabaja","FP grado medio","Muy de acuerdo","Pequeñas","Igual","Igual","Igual",9,8,"Católico/a no practicante","N.C."
"Hombre",46,"10001-50000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Licenciatura","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",7,6,"Agnóstico/a","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",67,"10001-50000 habitantes","2701-3900€",0,"Ninguno","Trabaja","Diplomaturas oficiales","Bastante de acuerdo","Pequeñas","Peor","Peor","Peor",5,5,"Creyente de otra religión","PP"
"Hombre",72,"10001-50000 habitantes","1100-1800€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Primaria","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",5,1,"Católico/a practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",44,"10001-50000 habitantes","3901-5000€",2,"Ninguno","Trabaja","FP grado superior","Muy de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,5,"Católico/a practicante","PP"
"Hombre",34,"10001-50000 habitantes","1100-1800€",0,"Ninguno","Trabaja","Primaria","Bastante de acuerdo","Muy grandes","Peor","Peor","Peor",5,5,"Ateo/a","ERC (Esquerra Republicana)"
"Mujer",59,"100001-400000 habitantes","1100-1800€",5,"Ninguno","Trabaja","Diplomaturas oficiales","Bastante de acuerdo","Casi inexistentes","Igual","Peor","Igual",3,4,"Católico/a no practicante","VOX"
"Hombre",61,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Bachillerato","Muy de acuerdo","Bastante grandes","Igual","Peor","Igual",10,3,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",59,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","FP grado medio","Muy de acuerdo","Casi inexistentes","Igual","Igual","Mejor",6,7,"Católico/a no practicante","PP"
"Hombre",53,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Bachillerato","Poco de acuerdo","Bastante grandes","Peor","Igual","Peor",5,3,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",41,"100001-400000 habitantes","2701-3900€",1,"Ninguno","En paro, ha trabajado antes","Máster oficial","Nada de acuerdo","Pequeñas","Peor","Peor","Igual",7,3,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",66,"100001-400000 habitantes","1100-1800€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Primaria","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",5,5,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",81,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Bachillerato","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",5,9,"Católico/a practicante","PP"
"Hombre",60,"100001-400000 habitantes","Menos de 1100€",1,"Ninguno","En paro, ha trabajado antes","Grado universitario","Bastante de acuerdo","Pequeñas","Igual","Peor","Peor",6,5,"Ateo/a","PP"
"Mujer",38,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Máster oficial","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",5,5,"Indiferente, no creyente","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",44,"100001-400000 habitantes","3901-5000€",4,"Tiene hijos/as menores","Trabaja","Máster oficial","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",5,7,"Católico/a no practicante","PP"
"Mujer",74,"50001-100000 habitantes","1100-1800€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Diplomaturas oficiales","Bastante de acuerdo","Muy grandes","Mejor","Igual","Igual",5,9,"Católico/a practicante","PP"
"Hombre",55,"50001-100000 habitantes","1801-2700€",1,"Tiene hijos/as menores","En paro, ha trabajado antes","Educación secundaria","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,1,"Católico/a no practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",48,"50001-100000 habitantes","2701-3900€",6,"Tiene hijos/as menores","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Bastante de acuerdo","Pequeñas","Igual","Igual","Igual",4,5,"Católico/a no practicante","PP"
"Hombre",37,"50001-100000 habitantes","1100-1800€",0,"Ninguno","Trabaja","FP grado superior","Nada de acuerdo","Casi inexistentes","Peor","Peor","Igual",7,5,"Católico/a no practicante","N.C."
"Hombre",18,"50001-100000 habitantes","Menos de 1100€",0,"Ninguno","Estudiante","Bachillerato","Poco de acuerdo","Pequeñas","Igual","Peor","Peor",5,4,"Agnóstico/a","EH Bildu (Euskal Herria Bildu)"
"Hombre",58,"10001-50000 habitantes","1100-1800€",1,"Ninguno","Trabaja","FP grado medio","Regular","Muy grandes","Peor","Peor","Peor",7,7,"Católico/a practicante","PP"
"Hombre",67,"100001-400000 habitantes","1100-1800€",NA,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Bastante de acuerdo","Muy grandes","Igual","Igual","Mejor",0,9,"Católico/a practicante","PP"
"Mujer",42,"100001-400000 habitantes","1801-2700€",4,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Muy grandes","Peor","Peor","Igual",6,6,"Católico/a no practicante","PP"
"Hombre",52,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Muy grandes","Peor","Igual","Igual",9,2,"Católico/a no practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",60,"100001-400000 habitantes","1100-1800€",3,"Ninguno","Trabaja","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Igual",6,2,"Católico/a no practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",46,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","Bachillerato","Muy de acuerdo","Pequeñas","Igual","Mejor","Igual",10,4,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",47,"100001-400000 habitantes","1100-1800€",2,"Ninguno","En paro, ha trabajado antes","Diplomaturas oficiales","Bastante de acuerdo","Casi inexistentes","Peor","Igual","Mejor",5,7,"Católico/a practicante","N.C."
"Mujer",76,"100001-400000 habitantes","1100-1800€",6,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Primaria","Poco de acuerdo","Pequeñas","Igual","Igual","Peor",7,8,"Católico/a practicante","N.C."
"Hombre",46,"100001-400000 habitantes","1100-1800€",1,"Tiene hijos/as menores","Trabaja","FP grado medio","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",5,5,"Católico/a no practicante","VOX"
"Hombre",49,"100001-400000 habitantes","2701-3900€",1,"Tiene hijos/as menores","Trabaja","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Peor","Igual",8,3,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",46,"100001-400000 habitantes","3901-5000€",3,"Tiene hijos/as menores","Trabaja","Licenciatura","Muy de acuerdo","Pequeñas","Igual","Igual","Peor",5,7,"Católico/a practicante","PP"
"Mujer",49,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Trabaja","Primaria","Bastante de acuerdo","Bastante grandes","Mejor","Peor","Peor",6,NA,NA,NA
"Hombre",60,"100001-400000 habitantes","1100-1800€",0,"Ninguno","Trabaja","Educación secundaria","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",8,4,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",65,"100001-400000 habitantes","2701-3900€",3,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Pequeñas","Igual","Igual","Igual",0,5,"Católico/a no practicante","PP"
"Hombre",50,"100001-400000 habitantes","1801-2700€",2,"Ninguno","Trabaja","FP grado superior","Bastante de acuerdo","Pequeñas","Peor",NA,"Peor",5,7,"Católico/a no practicante","VOX"
"Mujer",69,"100001-400000 habitantes","3901-5000€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",8,4,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",69,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Arquitectura/ingeniería técnica","Muy de acuerdo","Casi inexistentes","Peor","Igual","Igual",5,5,"Católico/a no practicante","PP"
"Hombre",74,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Arquitectura/ingeniería técnica","Nada de acuerdo","Pequeñas","Peor","Peor","Igual",9,6,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",50,"100001-400000 habitantes","2701-3900€",3,"Tiene hijos/as menores","Trabaja","Licenciatura","Poco de acuerdo","Bastante grandes","Igual","Peor","Igual",7,4,"Indiferente, no creyente","PP"
"Mujer",48,"100001-400000 habitantes","1100-1800€",2,"Ninguno","En paro, ha trabajado antes","Licenciatura","Regular","Muy grandes","Peor","Peor","Peor",7,3,"Agnóstico/a","Otro partido"
"Mujer",19,"100001-400000 habitantes","Menos de 1100€",0,"Ninguno","Estudiante","Bachillerato","Muy de acuerdo","Bastante grandes","Peor","Peor","Igual",6,3,"Agnóstico/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",77,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",8,1,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Mujer",57,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Trabaja","Diplomaturas oficiales","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",10,3,"Católico/a no practicante","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",26,"100001-400000 habitantes","2701-3900€",3,"Ninguno","Trabaja","Grado universitario","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",8,4,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",18,"100001-400000 habitantes","1100-1800€",2,"Ninguno","Estudiante","Bachillerato","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",7,NA,"Católico/a no practicante",NA
"Mujer",23,"100001-400000 habitantes","Menos de 1100€",3,"Ninguno","En paro, ha trabajado antes","Educación secundaria","Bastante de acuerdo","Muy grandes","Igual","Igual","Mejor",6,5,"Creyente de otra religión","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",68,"100001-400000 habitantes","1100-1800€",3,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Educación secundaria","Nada de acuerdo","Muy grandes","Peor","Igual","Peor",7,5,"Católico/a no practicante","N.C."
"Mujer",54,"100001-400000 habitantes","Menos de 1100€",NA,"Ninguno","En paro, ha trabajado antes","FP grado medio","Muy de acuerdo","Bastante grandes","Peor","Peor",NA,5,5,"Católico/a practicante","N.C."
"Hombre",20,"100001-400000 habitantes","1801-2700€",3,"Ninguno","Estudiante","Bachillerato","Bastante de acuerdo","Casi inexistentes","Igual","Mejor","Igual",3,7,"Católico/a no practicante","PP"
"Mujer",33,"100001-400000 habitantes","1100-1800€",2,"Ninguno","En paro, ha trabajado antes","FP grado superior","Poco de acuerdo","Bastante grandes","Igual","Mejor","Peor",6,5,"Ateo/a","En blanco"
"Hombre",30,"100001-400000 habitantes","1801-2700€",2,"Ninguno","En paro, ha trabajado antes","Máster oficial","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",9,3,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",54,"50001-100000 habitantes","2701-3900€",0,"Ninguno","Trabaja","FP grado medio","Muy de acuerdo","Muy grandes","Igual","Peor","Igual",0,8,"Católico/a no practicante","PP"
"Mujer",45,"50001-100000 habitantes","1801-2700€",6,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Diplomaturas oficiales","Muy de acuerdo","Casi inexistentes","Mejor","Igual","Igual",0,10,"Ateo/a","VOX"
"Mujer",18,"50001-100000 habitantes","1100-1800€",1,"Ninguno","Estudiante","Bachillerato","Bastante de acuerdo","Pequeñas","Igual","Igual","Igual",5,7,"Católico/a no practicante","VOX"
"Mujer",49,"10001-50000 habitantes","1100-1800€",3,"Tiene hijos/as menores","Trabajo doméstico no remunerado","Educación secundaria","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",5,5,"Católico/a no practicante","PP"
"Hombre",73,"2001-10000 habitantes","2701-3900€",1,"Ninguno","Jubilado/a o pensionista (ha trabajado)","FP grado superior","Bastante de acuerdo","Bastante grandes","Peor","Peor","Peor",6,5,"Católico/a practicante","PP"
"Hombre",72,"50001-100000 habitantes","3901-5000€",2,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Diplomaturas oficiales","Bastante de acuerdo","Muy grandes","Peor","Igual","Peor",8,2,"Indiferente, no creyente","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",49,"50001-100000 habitantes","Más de 5000€",2,"Tiene hijos/as menores","Trabaja","Arquitectura/ingeniería","Bastante de acuerdo","Muy grandes","Igual","Igual","Peor",3,8,"Católico/a no practicante","PP"
"Mujer",77,"50001-100000 habitantes","1801-2700€",0,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Poco de acuerdo","Bastante grandes","Peor","Igual","Peor",10,5,"Católico/a no practicante","PP"
"Hombre",61,"50001-100000 habitantes","Menos de 1100€",4,"Ninguno","En paro, ha trabajado antes","Bachillerato","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",0,10,"Católico/a no practicante","VOX"
"Mujer",54,"50001-100000 habitantes","3901-5000€",3,"Ninguno","Otra situación","Diplomaturas oficiales","Poco de acuerdo","Bastante grandes","Peor","Peor","Peor",8,7,"Católico/a no practicante","PP"
"Hombre",21,"50001-100000 habitantes","2701-3900€",0,"Ninguno","Trabaja","Bachillerato","Nada de acuerdo","Pequeñas","Igual","Peor","Igual",7,4,"Indiferente, no creyente","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",20,"10001-50000 habitantes","Más de 5000€",0,"Ninguno","Estudiante","FP grado superior","Muy de acuerdo","Casi inexistentes","Igual","Igual","Mejor",3,8,"Agnóstico/a","PP"
"Hombre",58,"10001-50000 habitantes","1801-2700€",0,"Ninguno","Trabaja","Licenciatura","Muy de acuerdo","Casi inexistentes","Igual","Igual","Peor",9,7,"Católico/a practicante","PP"
"Hombre",51,"10001-50000 habitantes","3901-5000€",3,"Tiene hijos/as menores","Trabaja","FP grado superior","Nada de acuerdo","Muy grandes","Peor","Peor","Peor",7,2,"Ateo/a","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",86,"10001-50000 habitantes","2701-3900€",0,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Máster oficial","Bastante de acuerdo","Casi inexistentes","Igual","Igual","Igual",3,7,"Católico/a no practicante","PP"
"Hombre",41,"10001-50000 habitantes","2701-3900€",4,"Tiene hijos/as menores","Trabaja","Licenciatura","Muy de acuerdo","Pequeñas","Igual","Igual","Peor",4,10,"Creyente de otra religión","N.C."
"Mujer",39,"10001-50000 habitantes","2701-3900€",3,"Ninguno","Trabaja","Educación secundaria","Poco de acuerdo","Pequeñas","Peor","Igual","Igual",6,5,"Católico/a no practicante","PP"
"Mujer",74,"50001-100000 habitantes","1801-2700€",4,"Ninguno","Pensionista (no ha trabajado)","Menos de 5 años escolarización","Bastante de acuerdo","Muy grandes","Peor","Peor","Peor",8,1,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",75,"50001-100000 habitantes","1801-2700€",6,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Diplomaturas oficiales","Muy de acuerdo","Pequeñas","Igual","Mejor","Mejor",5,8,"Católico/a practicante","PP"
"Hombre",51,"50001-100000 habitantes","1100-1800€",4,"Ninguno","En paro, ha trabajado antes","Bachillerato","Poco de acuerdo","Pequeñas","Peor","Peor","Mejor",5,4,"Católico/a no practicante","PP"
"Hombre",40,"50001-100000 habitantes","1801-2700€",4,"Tiene hijos/as menores","Trabaja","Educación secundaria","Nada de acuerdo","Bastante grandes","Peor","Peor","Peor",7,1,"Ateo/a","SUMAR (Podemos, IU, Más País, etc.)"
"Hombre",34,"50001-100000 habitantes","1100-1800€",1,"Ninguno","En paro, ha trabajado antes","FP grado superior","Bastante de acuerdo","Pequeñas","Igual","Igual","Igual",5,7,"Indiferente, no creyente","PP"
"Mujer",56,"50001-100000 habitantes","Menos de 1100€",6,"Ninguno","Trabaja","FP grado superior","Poco de acuerdo","Muy grandes","Peor","Peor","Peor",9,5,"Católico/a practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",48,"50001-100000 habitantes","1100-1800€",2,"Tiene hijos/as menores","Trabaja","Educación secundaria","Muy de acuerdo","Bastante grandes","Peor","Peor","Mejor",5,5,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",38,"50001-100000 habitantes","2701-3900€",4,"Tiene hijos/as menores","Trabaja","Bachillerato","Regular","Pequeñas","Igual","Peor","Peor",0,NA,"Católico/a practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Hombre",39,"50001-100000 habitantes","1801-2700€",2,"Tiene hijos/as menores","Trabaja","Bachillerato","Poco de acuerdo","Casi inexistentes","Igual","Mejor","Igual",5,3,"Católico/a no practicante","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
"Mujer",57,"50001-100000 habitantes","1801-2700€",3,"Ninguno","Trabajo doméstico no remunerado","FP grado superior","Muy de acuerdo","Pequeñas","Igual","Igual","Peor",NA,NA,"Católico/a no practicante",NA
"Hombre",62,"50001-100000 habitantes","Más de 5000€",5,"Ninguno","Jubilado/a o pensionista (ha trabajado)","Licenciatura","Poco de acuerdo","Pequeñas","Peor","Peor","Igual",7,4,"Indiferente, no creyente","PSOE (PSC, PSE-EE, PSdeG, PSIB, PSN)"
